DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2023,29912179,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2024,30603343,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2012,1495396257,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2013,1526620212,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2014,1560279981,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2015,1620327189,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2016,1688975885,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2017,1765044425,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2018,1823751216,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2019,1855029070,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2020,795014048,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2021,1039809007,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2022,1701889214,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2023,1842188810,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,European Union - 27 countries (from 2020),2024,1897527175,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,Italy,2012,255610143,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,Italy,2013,254759348,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Total,Number,Hotels and similar accommodation,Italy,2014,254941435,,
